OK/KO;OK/KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,KO;KO
,OK;OK
,KO;KO
,KO;KO
,OK;OK
,OK;OK
,KO;KO
,OK;OK
,KO;KO
,OK;OK
,OK;OK
,OK;OK
,OK;OK
,KO;KO
